11:17:13: INFO: <module>: for iteration:1:number of inputs:10
11:17:21: INFO: test_env: for original code input:<!DOCTYPE html><body><br><br><br>o</body>:original code output:['<br><br><br>o', '441\r\n']
11:17:47: INFO: test_env: for original code input:<!DOCTYPE html><body>YL</body>:original code output:['YL', '437\r\n']
11:17:47: INFO: test_env: For mutated code input:<!DOCTYPE html><body>YL</body>:mutated code output:['YL', '431\n']
11:17:48: INFO: test_env: for original code input:<!DOCTYPE html><body><br>53</body>:original code output:['<br>53', '443\r\n']
11:17:48: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br>53</body>:mutated code output:['<br>53', '437\n']
11:17:48: INFO: test_env: for original code input:<!DOCTYPE html><body><br><br>6w</body>:original code output:['<br><br>6w', '444\r\n']
11:17:48: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br><br>6w</body>:mutated code output:['<br><br>6w', '438\n']
11:17:49: INFO: test_env: for original code input:<!DOCTYPE html><body>4r</body>:original code output:['4r', '437\r\n']
11:17:49: INFO: test_env: For mutated code input:<!DOCTYPE html><body>4r</body>:mutated code output:['4r', '431\n']
11:17:51: INFO: test_env: for original code input:<!DOCTYPE html><body><br><br>6w</body>:original code output:['<br><br>6w', '444\r\n']
11:17:51: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br><br>6w</body>:mutated code output:['<br><br>6w', '438\n']
11:17:51: INFO: test_env: for original code input:<!DOCTYPE html><body><br>53</body>:original code output:['<br>53', '443\r\n']
11:17:51: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br>53</body>:mutated code output:['<br>53', '437\n']
11:17:54: INFO: test_env: for original code input:<!DOCTYPE html><body><br><br>6w</body>:original code output:['<br><br>6w', '444\r\n']
11:17:54: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br><br>6w</body>:mutated code output:['<br><br>6w', '438\n']
11:17:59: INFO: test_env: for original code input:<!DOCTYPE html><body><br><br><br>o</body>:original code output:['<br><br><br>o', '441\r\n']
11:17:59: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br><br><br>o</body>:mutated code output:['<br><br><br>o', '435\n']
11:18:02: INFO: test_env: for original code input:<!DOCTYPE html><body><br><br><br>o</body>:original code output:['<br><br><br>o', '441\r\n']
11:18:02: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br><br><br>o</body>:mutated code output:['<br><br><br>o', '435\n']
11:18:02: INFO: test_env: for original code input:<!DOCTYPE html><body>3Y</body>:original code output:['3Y', '437\r\n']
11:18:02: INFO: test_env: For mutated code input:<!DOCTYPE html><body>3Y</body>:mutated code output:['3Y', '431\n']
11:18:04: INFO: test_env: for original code input:<!DOCTYPE html><body><br><br><br>o</body>:original code output:['<br><br><br>o', '441\r\n']
11:18:04: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br><br><br>o</body>:mutated code output:['<br><br><br>o', '435\n']
11:18:04: INFO: test_env: for original code input:<!DOCTYPE html><body>3Y</body>:original code output:['3Y', '437\r\n']
11:18:04: INFO: test_env: For mutated code input:<!DOCTYPE html><body>3Y</body>:mutated code output:['3Y', '431\n']
11:18:05: INFO: test_env: for original code input:<!DOCTYPE html><body><i>4</i>4</body>:original code output:['<i>4</i>4', '479\r\n']
11:18:05: INFO: test_env: For mutated code input:<!DOCTYPE html><body><i>4</i>4</body>:mutated code output:['<i>4</i>4', '473\n']
11:18:07: INFO: test_env: for original code input:<!DOCTYPE html><body><br><br><br>o</body>:original code output:['<br><br><br>o', '441\r\n']
11:18:07: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br><br><br>o</body>:mutated code output:['<br><br><br>o', '435\n']
11:18:07: INFO: test_env: for original code input:<!DOCTYPE html><body>3Y</body>:original code output:['3Y', '437\r\n']
11:18:07: INFO: test_env: For mutated code input:<!DOCTYPE html><body>3Y</body>:mutated code output:['3Y', '431\n']
11:18:07: INFO: test_env: for original code input:<!DOCTYPE html><body><i>4</i>4</body>:original code output:['<i>4</i>4', '479\r\n']
11:18:07: INFO: test_env: For mutated code input:<!DOCTYPE html><body><i>4</i>4</body>:mutated code output:['<i>4</i>4', '473\n']
11:18:07: INFO: test_env: for original code input:<!DOCTYPE html><body><br><br>w</body>:original code output:['<br><br>w', '441\r\n']
11:18:07: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br><br>w</body>:mutated code output:['<br><br>w', '435\n']
11:18:09: INFO: test_env: for original code input:<!DOCTYPE html><body><i>4</i>4</body>:original code output:['<i>4</i>4', '479\r\n']
11:18:09: INFO: test_env: For mutated code input:<!DOCTYPE html><body><i>4</i>4</body>:mutated code output:['<i>4</i>4', '473\n']
11:18:09: INFO: test_env: for original code input:<!DOCTYPE html><body>3Y</body>:original code output:['3Y', '437\r\n']
11:18:09: INFO: test_env: For mutated code input:<!DOCTYPE html><body>3Y</body>:mutated code output:['3Y', '431\n']
11:18:09: INFO: test_env: for original code input:<!DOCTYPE html><body><br><br>w</body>:original code output:['<br><br>w', '441\r\n']
11:18:09: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br><br>w</body>:mutated code output:['<br><br>w', '435\n']
11:18:10: INFO: test_env: for original code input:<!DOCTYPE html><body>w</body>:original code output:['w', '434\r\n']
11:18:10: INFO: test_env: For mutated code input:<!DOCTYPE html><body>w</body>:mutated code output:['w', '428\n']
11:18:12: INFO: test_env: for original code input:<!DOCTYPE html><body><i>4</i>4</body>:original code output:['<i>4</i>4', '479\r\n']
11:18:12: INFO: test_env: For mutated code input:<!DOCTYPE html><body><i>4</i>4</body>:mutated code output:['<i>4</i>4', '473\n']
11:18:12: INFO: test_env: for original code input:<!DOCTYPE html><body>w</body>:original code output:['w', '434\r\n']
11:18:12: INFO: test_env: For mutated code input:<!DOCTYPE html><body>w</body>:mutated code output:['w', '428\n']
11:18:12: INFO: test_env: for original code input:<!DOCTYPE html><body><br><br>w</body>:original code output:['<br><br>w', '441\r\n']
11:18:12: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br><br>w</body>:mutated code output:['<br><br>w', '435\n']
11:18:13: INFO: test_env: for original code input:<!DOCTYPE html><body><br>n</body>:original code output:['<br>n', '440\r\n']
11:18:13: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br>n</body>:mutated code output:['<br>n', '434\n']
11:18:15: INFO: test_env: for original code input:<!DOCTYPE html><body><br><br>w</body>:original code output:['<br><br>w', '441\r\n']
11:18:15: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br><br>w</body>:mutated code output:['<br><br>w', '435\n']
11:18:15: INFO: test_env: for original code input:<!DOCTYPE html><body><br>n</body>:original code output:['<br>n', '440\r\n']
11:18:15: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br>n</body>:mutated code output:['<br>n', '434\n']
11:18:15: INFO: test_env: for original code input:<!DOCTYPE html><body>w</body>:original code output:['w', '434\r\n']
11:18:15: INFO: test_env: For mutated code input:<!DOCTYPE html><body>w</body>:mutated code output:['w', '428\n']
11:18:15: INFO: test_env: for original code input:<!DOCTYPE html><body>YL</body>:original code output:['YL', '437\r\n']
11:18:15: INFO: test_env: For mutated code input:<!DOCTYPE html><body>YL</body>:mutated code output:['YL', '431\n']
11:18:17: INFO: test_env: for original code input:<!DOCTYPE html><body>w</body>:original code output:['w', '434\r\n']
11:18:17: INFO: test_env: For mutated code input:<!DOCTYPE html><body>w</body>:mutated code output:['w', '428\n']
11:18:17: INFO: test_env: for original code input:<!DOCTYPE html><body><br>n</body>:original code output:['<br>n', '440\r\n']
11:18:17: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br>n</body>:mutated code output:['<br>n', '434\n']
11:18:18: INFO: test_env: for original code input:<!DOCTYPE html><body>YL</body>:original code output:['YL', '437\r\n']
11:18:18: INFO: test_env: For mutated code input:<!DOCTYPE html><body>YL</body>:mutated code output:['YL', '431\n']
11:18:18: INFO: test_env: for original code input:<!DOCTYPE html><body>4r</body>:original code output:['4r', '437\r\n']
11:18:18: INFO: test_env: For mutated code input:<!DOCTYPE html><body>4r</body>:mutated code output:['4r', '431\n']
11:18:20: INFO: test_env: for original code input:<!DOCTYPE html><body>YL</body>:original code output:['YL', '437\r\n']
11:18:20: INFO: test_env: For mutated code input:<!DOCTYPE html><body>YL</body>:mutated code output:['YL', '431\n']
11:18:20: INFO: test_env: for original code input:<!DOCTYPE html><body><br>n</body>:original code output:['<br>n', '440\r\n']
11:18:20: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br>n</body>:mutated code output:['<br>n', '434\n']
11:18:20: INFO: test_env: for original code input:<!DOCTYPE html><body>4r</body>:original code output:['4r', '437\r\n']
11:18:20: INFO: test_env: For mutated code input:<!DOCTYPE html><body>4r</body>:mutated code output:['4r', '431\n']
11:18:21: INFO: test_env: for original code input:<!DOCTYPE html><body><br>53</body>:original code output:['<br>53', '443\r\n']
11:18:21: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br>53</body>:mutated code output:['<br>53', '437\n']
11:18:23: INFO: test_env: for original code input:<!DOCTYPE html><body>4r</body>:original code output:['4r', '437\r\n']
11:18:23: INFO: test_env: For mutated code input:<!DOCTYPE html><body>4r</body>:mutated code output:['4r', '431\n']
11:18:23: INFO: test_env: for original code input:<!DOCTYPE html><body>YL</body>:original code output:['YL', '437\r\n']
11:18:23: INFO: test_env: For mutated code input:<!DOCTYPE html><body>YL</body>:mutated code output:['YL', '431\n']
11:18:23: INFO: test_env: for original code input:<!DOCTYPE html><body><br>53</body>:original code output:['<br>53', '443\r\n']
11:18:23: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br>53</body>:mutated code output:['<br>53', '437\n']
11:18:24: INFO: test_env: for original code input:<!DOCTYPE html><body><br><br>6w</body>:original code output:['<br><br>6w', '444\r\n']
11:18:24: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br><br>6w</body>:mutated code output:['<br><br>6w', '438\n']
11:18:25: INFO: test_env: for original code input:<!DOCTYPE html><body><br>53</body>:original code output:['<br>53', '443\r\n']
11:18:25: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br>53</body>:mutated code output:['<br>53', '437\n']
11:18:25: INFO: test_env: for original code input:<!DOCTYPE html><body>4r</body>:original code output:['4r', '437\r\n']
11:18:25: INFO: test_env: For mutated code input:<!DOCTYPE html><body>4r</body>:mutated code output:['4r', '431\n']
11:18:26: INFO: test_env: for original code input:<!DOCTYPE html><body><br><br>6w</body>:original code output:['<br><br>6w', '444\r\n']
11:18:26: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br><br>6w</body>:mutated code output:['<br><br>6w', '438\n']
11:18:28: INFO: test_env: for original code input:<!DOCTYPE html><body><br><br>6w</body>:original code output:['<br><br>6w', '444\r\n']
11:18:28: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br><br>6w</body>:mutated code output:['<br><br>6w', '438\n']
11:18:28: INFO: test_env: for original code input:<!DOCTYPE html><body><br>53</body>:original code output:['<br>53', '443\r\n']
11:18:28: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br>53</body>:mutated code output:['<br>53', '437\n']
11:18:30: INFO: test_env: for original code input:<!DOCTYPE html><body><br><br>6w</body>:original code output:['<br><br>6w', '444\r\n']
11:18:30: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br><br>6w</body>:mutated code output:['<br><br>6w', '438\n']
11:18:35: INFO: test_env: for original code input:<!DOCTYPE html><body><br><br><br>o</body>:original code output:['<br><br><br>o', '441\r\n']
11:18:35: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br><br><br>o</body>:mutated code output:['<br><br><br>o', '435\n']
11:18:37: INFO: test_env: for original code input:<!DOCTYPE html><body><br><br><br>o</body>:original code output:['<br><br><br>o', '441\r\n']
11:18:37: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br><br><br>o</body>:mutated code output:['<br><br><br>o', '435\n']
11:18:39: INFO: test_env: for original code input:<!DOCTYPE html><body>3Y</body>:original code output:['3Y', '437\r\n']
11:18:39: INFO: test_env: For mutated code input:<!DOCTYPE html><body>3Y</body>:mutated code output:['3Y', '431\n']
11:18:40: INFO: test_env: for original code input:<!DOCTYPE html><body><br><br><br>o</body>:original code output:['<br><br><br>o', '441\r\n']
11:18:40: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br><br><br>o</body>:mutated code output:['<br><br><br>o', '435\n']
11:18:40: INFO: test_env: for original code input:<!DOCTYPE html><body>3Y</body>:original code output:['3Y', '437\r\n']
11:18:40: INFO: test_env: For mutated code input:<!DOCTYPE html><body>3Y</body>:mutated code output:['3Y', '431\n']
11:18:41: INFO: test_env: for original code input:<!DOCTYPE html><body><i>4</i>4</body>:original code output:['<i>4</i>4', '479\r\n']
11:18:41: INFO: test_env: For mutated code input:<!DOCTYPE html><body><i>4</i>4</body>:mutated code output:['<i>4</i>4', '473\n']
11:18:43: INFO: test_env: for original code input:<!DOCTYPE html><body><br><br><br>o</body>:original code output:['<br><br><br>o', '441\r\n']
11:18:43: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br><br><br>o</body>:mutated code output:['<br><br><br>o', '435\n']
11:18:43: INFO: test_env: for original code input:<!DOCTYPE html><body>3Y</body>:original code output:['3Y', '437\r\n']
11:18:43: INFO: test_env: For mutated code input:<!DOCTYPE html><body>3Y</body>:mutated code output:['3Y', '431\n']
11:18:43: INFO: test_env: for original code input:<!DOCTYPE html><body><i>4</i>4</body>:original code output:['<i>4</i>4', '479\r\n']
11:18:43: INFO: test_env: For mutated code input:<!DOCTYPE html><body><i>4</i>4</body>:mutated code output:['<i>4</i>4', '473\n']
11:18:44: INFO: test_env: for original code input:<!DOCTYPE html><body><br><br>w</body>:original code output:['<br><br>w', '441\r\n']
11:18:44: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br><br>w</body>:mutated code output:['<br><br>w', '435\n']
11:18:45: INFO: test_env: for original code input:<!DOCTYPE html><body>3Y</body>:original code output:['3Y', '437\r\n']
11:18:45: INFO: test_env: For mutated code input:<!DOCTYPE html><body>3Y</body>:mutated code output:['3Y', '431\n']
11:18:46: INFO: test_env: for original code input:<!DOCTYPE html><body><br><br>w</body>:original code output:['<br><br>w', '441\r\n']
11:18:46: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br><br>w</body>:mutated code output:['<br><br>w', '435\n']
11:18:46: INFO: test_env: for original code input:<!DOCTYPE html><body><i>4</i>4</body>:original code output:['<i>4</i>4', '479\r\n']
11:18:46: INFO: test_env: For mutated code input:<!DOCTYPE html><body><i>4</i>4</body>:mutated code output:['<i>4</i>4', '473\n']
11:18:47: INFO: test_env: for original code input:<!DOCTYPE html><body>w</body>:original code output:['w', '434\r\n']
11:18:47: INFO: test_env: For mutated code input:<!DOCTYPE html><body>w</body>:mutated code output:['w', '428\n']
11:18:48: INFO: test_env: for original code input:<!DOCTYPE html><body><i>4</i>4</body>:original code output:['<i>4</i>4', '479\r\n']
11:18:48: INFO: test_env: For mutated code input:<!DOCTYPE html><body><i>4</i>4</body>:mutated code output:['<i>4</i>4', '473\n']
11:18:48: INFO: test_env: for original code input:<!DOCTYPE html><body>w</body>:original code output:['w', '434\r\n']
11:18:48: INFO: test_env: For mutated code input:<!DOCTYPE html><body>w</body>:mutated code output:['w', '428\n']
11:18:48: INFO: test_env: for original code input:<!DOCTYPE html><body><br><br>w</body>:original code output:['<br><br>w', '441\r\n']
11:18:48: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br><br>w</body>:mutated code output:['<br><br>w', '435\n']
11:18:50: INFO: test_env: for original code input:<!DOCTYPE html><body><br>n</body>:original code output:['<br>n', '440\r\n']
11:18:50: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br>n</body>:mutated code output:['<br>n', '434\n']
11:18:51: INFO: test_env: for original code input:<!DOCTYPE html><body><br><br>w</body>:original code output:['<br><br>w', '441\r\n']
11:18:51: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br><br>w</body>:mutated code output:['<br><br>w', '435\n']
11:18:51: INFO: test_env: for original code input:<!DOCTYPE html><body><br>n</body>:original code output:['<br>n', '440\r\n']
11:18:51: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br>n</body>:mutated code output:['<br>n', '434\n']
11:18:51: INFO: test_env: for original code input:<!DOCTYPE html><body>w</body>:original code output:['w', '434\r\n']
11:18:51: INFO: test_env: For mutated code input:<!DOCTYPE html><body>w</body>:mutated code output:['w', '428\n']
11:18:53: INFO: test_env: for original code input:<!DOCTYPE html><body>YL</body>:original code output:['YL', '437\r\n']
11:18:53: INFO: test_env: For mutated code input:<!DOCTYPE html><body>YL</body>:mutated code output:['YL', '431\n']
11:18:54: INFO: test_env: for original code input:<!DOCTYPE html><body>w</body>:original code output:['w', '434\r\n']
11:18:54: INFO: test_env: For mutated code input:<!DOCTYPE html><body>w</body>:mutated code output:['w', '428\n']
11:18:54: INFO: test_env: for original code input:<!DOCTYPE html><body>YL</body>:original code output:['YL', '437\r\n']
11:18:54: INFO: test_env: For mutated code input:<!DOCTYPE html><body>YL</body>:mutated code output:['YL', '431\n']
11:18:54: INFO: test_env: for original code input:<!DOCTYPE html><body><br>n</body>:original code output:['<br>n', '440\r\n']
11:18:54: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br>n</body>:mutated code output:['<br>n', '434\n']
11:18:55: INFO: test_env: for original code input:<!DOCTYPE html><body>4r</body>:original code output:['4r', '437\r\n']
11:18:55: INFO: test_env: For mutated code input:<!DOCTYPE html><body>4r</body>:mutated code output:['4r', '431\n']
11:18:56: INFO: test_env: for original code input:<!DOCTYPE html><body><br>n</body>:original code output:['<br>n', '440\r\n']
11:18:56: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br>n</body>:mutated code output:['<br>n', '434\n']
11:18:57: INFO: test_env: for original code input:<!DOCTYPE html><body>4r</body>:original code output:['4r', '437\r\n']
11:18:57: INFO: test_env: For mutated code input:<!DOCTYPE html><body>4r</body>:mutated code output:['4r', '431\n']
11:18:57: INFO: test_env: for original code input:<!DOCTYPE html><body>YL</body>:original code output:['YL', '437\r\n']
11:18:57: INFO: test_env: For mutated code input:<!DOCTYPE html><body>YL</body>:mutated code output:['YL', '431\n']
11:18:58: INFO: test_env: for original code input:<!DOCTYPE html><body><br>53</body>:original code output:['<br>53', '443\r\n']
11:18:58: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br>53</body>:mutated code output:['<br>53', '437\n']
11:18:59: INFO: test_env: for original code input:<!DOCTYPE html><body>YL</body>:original code output:['YL', '437\r\n']
11:18:59: INFO: test_env: For mutated code input:<!DOCTYPE html><body>YL</body>:mutated code output:['YL', '431\n']
11:19:00: INFO: test_env: for original code input:<!DOCTYPE html><body><br>53</body>:original code output:['<br>53', '443\r\n']
11:19:00: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br>53</body>:mutated code output:['<br>53', '437\n']
11:19:00: INFO: test_env: for original code input:<!DOCTYPE html><body>4r</body>:original code output:['4r', '437\r\n']
11:19:00: INFO: test_env: For mutated code input:<!DOCTYPE html><body>4r</body>:mutated code output:['4r', '431\n']
11:19:01: INFO: test_env: for original code input:<!DOCTYPE html><body><br><br>6w</body>:original code output:['<br><br>6w', '444\r\n']
11:19:01: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br><br>6w</body>:mutated code output:['<br><br>6w', '438\n']
11:19:02: INFO: test_env: for original code input:<!DOCTYPE html><body>4r</body>:original code output:['4r', '437\r\n']
11:19:02: INFO: test_env: For mutated code input:<!DOCTYPE html><body>4r</body>:mutated code output:['4r', '431\n']
11:19:02: INFO: test_env: for original code input:<!DOCTYPE html><body><br><br>6w</body>:original code output:['<br><br>6w', '444\r\n']
11:19:02: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br><br>6w</body>:mutated code output:['<br><br>6w', '438\n']
11:19:03: INFO: test_env: for original code input:<!DOCTYPE html><body><br>53</body>:original code output:['<br>53', '443\r\n']
